dci_name,overall_status,trimester_details/T1,trimester_details/T2,trimester_details/T3,trimester_details/DELIVERY,summary,source_url
CHLORPHENIRAMINE,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données rassurantes au T1 ; aucun effet malformatif/fœtal/néonatal retenu. Utilisation ponctuelle possible quel que soit le terme.,https://www.lecrat.fr/6800/
CICLESONIDE,SAFE,SAFE,SAFE,SAFE,SAFE,"Par analogie avec les autres corticoïdes inhalés (nombreuses données rassurantes), aucun effet retenu. L'asthme doit être traité efficacement tout au long de la grossesse.",https://www.lecrat.fr/8093/
CICLOSPORINE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu ; possible prématurité/RCIU (rôle de la pathologie). Surveillance des concentrations maternelles et risque infectieux maternofoetal. Utilisable si indiqué.,https://www.lecrat.fr/8945/
CLODRONATE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Données quasi inexistantes ; aucun effet malformatif retenu mais atteintes squelettiques fœtales possibles à fortes doses chez l'animal. À éviter si possible ; surveillance échographique squelettique si indispensable.,https://www.lecrat.fr/7462/
CLOXACILLINE,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif/fœtal/néonatal retenu. Utilisable quel que soit le terme de la grossesse.,https://www.lecrat.fr/13319/
CYCLOPHOSPHAMIDE,UNSAFE,UNSAFE,CAUTION,CAUTION,CAUTION,"Malformations documentées chez l'humain au T1 (membres, crâne, SNC). Ne doit pas être utilisé sauf indication maternelle incontournable, de préférence après le 1er trimestre. Surveillance hématologique néonatale requise.",https://www.lecrat.fr/8912/
DEXTROMETHORPHANE,CAUTION,SAFE,SAFE,SAFE,CAUTION,Nombreuses données rassurantes au T1 ; utilisable à posologie usuelle quel que soit le terme pour une durée limitée. Risque de syndrome de sevrage néonatal à doses suprathérapeutiques jusqu'à l'accouchement.,https://www.lecrat.fr/4695/
DIENOGEST,CAUTION,SAFE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,"Aucun effet malformatif retenu ; arrêter le diénogest dès la découverte de la grossesse. Utilisé uniquement comme contraceptif/traitement de l'endométriose, donc non applicable au-delà du T1.",https://www.lecrat.fr/11443/
DIMETHYLE FUMARATE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu au T1 ; données quasi inexistantes aux T2/T3. On préférera une alternative thérapeutique mieux connue ; contacter le CRAT si exposition.,https://www.lecrat.fr/9199/
DOXYLAMINE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu au T1. Données limitées pour T2/T3 avec un cas d'apnées néonatales sévères rapporté. À utiliser avec précaution sous supervision médicale.,https://www.lecrat.fr/3405/
DROSPIRENONE,CAUTION,SAFE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Aucun effet malformatif/fœtal retenu ; arrêter le contraceptif dès la découverte de la grossesse. Non applicable au-delà du T1 (contraceptif).,https://www.lecrat.fr/11401/
DULOXETINE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,"Données T1 rassurantes ; symptômes néonataux transitoires (~30% des nouveau-nés) et possible risque de prématurité en fin de grossesse. À maintenir si bénéfice maternel justifié, avec surveillance néonatale.",https://www.lecrat.fr/4078/
ERTAPENEM,SAFE,SAFE,SAFE,SAFE,SAFE,Données quasi inexistantes mais aucun effet retenu ; rassurer la patiente. Envisageable quel que soit le terme de la grossesse.,https://www.lecrat.fr/13284/
ETANERCEPT,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données rassurantes au T1 ; passage placentaire faible. Aucun effet retenu. Peut être poursuivi quel que soit le terme.,https://www.lecrat.fr/5140/
ETIFOXINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Aucune donnée clinique ; on préférera une benzodiazépine (oxazépam) ou l'hydroxyzine en cours de grossesse. L'étifoxine n'est pas recommandée pendant la grossesse.,https://www.lecrat.fr/7017/
FILGRASTIM,SAFE,SAFE,SAFE,SAFE,SAFE,G-CSF : données limitées mais aucun effet malformatif/fœtal retenu. Peut être utilisé si nécessaire quel que soit le terme.,https://www.lecrat.fr/20635/
FINGOLIMOD,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu chez l'humain au T1 ; données quasi inexistantes aux T2/T3. Arrêter avant la grossesse si possible et contacter le CRAT si exposition.,https://www.lecrat.fr/9216/
FLUOCINOLONE,SAFE,SAFE,SAFE,SAFE,SAFE,"Aucun effet malformatif/fœtal retenu ; par analogie avec les corticoïdes, données rassurantes. Utilisable quel que soit le terme et la voie d'administration.",https://www.lecrat.fr/5039/
FUROATE DE FLUTICASONE,SAFE,SAFE,SAFE,SAFE,SAFE,"Très nombreuses données rassurantes, aucun effet retenu. Utilisable quel que soit le terme et la voie d'administration.",https://www.lecrat.fr/8107/
GESTODENE,CAUTION,SAFE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Aucun effet malformatif/fœtal retenu ; arrêter dès la découverte de la grossesse. Non applicable au-delà du T1 (contraceptif).,https://www.lecrat.fr/11372/
GLATIRAMERE,SAFE,SAFE,SAFE,SAFE,SAFE,"Très nombreuses données rassurantes au T1, données positives aux T2/T3. Peut être poursuivi quel que soit le terme de la grossesse.",https://www.lecrat.fr/9218/
GOLIMUMAB,SAFE,SAFE,SAFE,SAFE,SAFE,"Données limitées mais rassurantes au T1 ; par analogie avec infliximab/adalimumab, aucun effet retenu. Peut être poursuivi quel que soit le terme si indiqué.",https://www.lecrat.fr/5129/
GOMME DE STERCULIA,SAFE,SAFE,SAFE,SAFE,SAFE,"Non absorbé, aucun effet retenu. Utilisable quel que soit le terme si laxatif nécessaire.",https://www.lecrat.fr/8720/
GRANISETRON,SAFE,SAFE,SAFE,SAFE,SAFE,"Aucun effet malformatif/fœtal/néonatal retenu. Envisageable quel que soit le terme si les options de première intention (métoclopramide, ondansétron) ne conviennent pas.",https://www.lecrat.fr/11636/
HEPARINE SODIQUE,SAFE,SAFE,SAFE,SAFE,SAFE,Pas de passage placentaire ; aucun effet retenu. Utilisable en préventif et curatif quel que soit le terme de la grossesse.,https://www.lecrat.fr/6614/
HOMEOPATHIE,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif/fœtal/néonatal rapporté. Attention au risque de perte de chance en cas de recours exclusif à l'homéopathie au détriment d'un traitement conventionnel.,https://www.lecrat.fr/1048/
HUILE DE PARAFFINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Aucun effet retenu mais utilisation prolongée déconseillée (risque de carence en vitamines liposolubles). On préférera un laxatif osmotique ou mucilage ; utilisation ponctuelle acceptable si nécessaire.,https://www.lecrat.fr/8787/
HUILE ESSENTIEL,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"Données quasi inexistantes ; rapport bénéfice/risque impossible à évaluer. En usage thérapeutique, mieux vaut s'abstenir en cours de grossesse.",https://www.lecrat.fr/12143/
HYDROXYCARBAMIDE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Données très limitées ; la page renvoie à contacter le CRAT en cas d'exposition avant la conception ou en cours de grossesse.,https://www.lecrat.fr/11769/
IBUPROFENE,UNSAFE,CAUTION,CAUTION,UNSAFE,UNSAFE,"Formellement contre-indiqué à partir du 6e mois (24 SA) en raison de toxicité cardio-vasculaire/rénale fœtale potentiellement irréversible. Avant 24 SA, utilisation ponctuelle possible mais prudence requise.",https://www.lecrat.fr/15292/
IMIPENEM,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif/néonatal retenu. Envisageable quel que soit le terme en raison de l'intérêt thérapeutique.,https://www.lecrat.fr/13283/
IMIQUIMOD,CAUTION,CAUTION,SAFE,SAFE,SAFE,"Aucun effet retenu ; passage systémique faible. Dans les condylomes, on préférera un traitement physique quel que soit le terme. Dans le carcinome basocellulaire, envisageable de préférence après 10 SA.",https://www.lecrat.fr/10904/
INFLIXIMAB,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données rassurantes ; aucun effet malformatif/néonatal retenu. Peut être poursuivi quel que soit le terme avec adaptation posologique en fin de grossesse si possible.,https://www.lecrat.fr/5115/
INTERFERON BETA 1 B,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données rassurantes au T1 ; passage placentaire peu probable. Utilisable quel que soit le terme de la grossesse.,https://www.lecrat.fr/9197/
IODIXANOL,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,"Produit de contraste iodé hydrosoluble : aucun effet malformatif retenu. Après 10-12 SA, surveiller la thyroïde néonatale (captation de l'iode par la thyroïde fœtale).",https://www.lecrat.fr/9780/
IOHEXOL,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,"Produit de contraste iodé hydrosoluble : aucun effet malformatif retenu. Après 10-12 SA, surveiller la thyroïde néonatale.",https://www.lecrat.fr/9780/
IOPROMIDE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,"Produit de contraste iodé hydrosoluble : aucun effet malformatif retenu. Après 10-12 SA, surveiller la thyroïde néonatale.",https://www.lecrat.fr/9780/
ISOFLURANE,SAFE,SAFE,SAFE,SAFE,SAFE,"Aucun effet malformatif retenu ; rassurer la patiente. En exposition professionnelle, réévaluer les conditions de travail.",https://www.lecrat.fr/8381/
ISPAGHUL,SAFE,SAFE,SAFE,SAFE,SAFE,"Non absorbé, aucun effet retenu. Utilisable quel que soit le terme si laxatif nécessaire.",https://www.lecrat.fr/8734/
ITRACONAZOLE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,la page renvoie à contacter le CRAT en cas d'exposition pendant la grossesse.,https://www.lecrat.fr/10228/
IVERMECTINE,SAFE,SAFE,SAFE,SAFE,SAFE,"Nombreuses données rassurantes (voie orale, prise unique) ; aucun effet retenu. Utilisable quel que soit le terme en gale ou helminthiases si voie cutanée insuffisante.",https://www.lecrat.fr/7600/
JOSAMYCINE,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif/fœtal/néonatal retenu. Envisageable quel que soit le terme si la josamycine présente un avantage par rapport aux autres macrolides.,https://www.lecrat.fr/13438/
LACTULOSE,SAFE,SAFE,SAFE,SAFE,SAFE,"Non absorbé, aucun effet retenu. Utilisable quel que soit le terme si laxatif nécessaire.",https://www.lecrat.fr/8775/
LENOGRASTIM,SAFE,SAFE,SAFE,SAFE,SAFE,G-CSF : aucun effet malformatif/fœtal retenu. Peut être utilisé si nécessaire quel que soit le terme.,https://www.lecrat.fr/20635/
LYMECYCLINE,UNSAFE,CAUTION,CAUTION,UNSAFE,UNSAFE,"Aucun effet malformatif retenu. Éviter au T1 (traitement chronique). À partir de 28 SA, risque de coloration des dents de lait (au moins 15 jours de traitement). Contre-indiquée pour usage chronique au 3e trimestre.",https://www.lecrat.fr/6391/
MECLOZINE,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données rassurantes ; aucun effet retenu. Utilisable quel que soit le terme de la grossesse.,https://www.lecrat.fr/6733/
MEGESTROL,CAUTION,SAFE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Nomégestrol : aucun effet malformatif retenu ; arrêter dès la découverte de la grossesse. Non applicable au-delà du T1 (contraceptif).,https://www.lecrat.fr/11370/
MEPIVACAINE,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif retenu ; utilisée en anesthésie obstétricale. Utilisable quel que soit le terme de la grossesse.,https://www.lecrat.fr/8335/
MERCAPTOPURINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,La page renvoie aux données de l'azathioprine dont la mercaptopurine est un métabolite. Données à évaluer via la page azathioprine ; contacter le CRAT.,https://www.lecrat.fr/16668/
METHYLPHENIDATE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu ; données T2/T3 limitées. Risque théorique d'hyperexcitabilité néonatale si pris jusqu'à l'accouchement. À réévaluer avec le prescripteur.,https://www.lecrat.fr/9150/
MIFEPRISTONE,CAUTION,CAUTION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Cinq anomalies cérébelleuses rapportées après exposition au T1 ; lien causal non établi. Surveillance prénatale du cervelet fœtale souhaitable en cas d'exposition. Contacter le CRAT.,https://www.lecrat.fr/3351/
MINOXIDIL,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"Aucun effet malformatif retenu ; 3 cas d'hypertrichose néonatale réversible rapportés. À éviter si possible ; si indispensable (HTA), utiliser à doses minimales.",https://www.lecrat.fr/9324/
MOXIFLOXACINE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu. Données T2/T3 quasi inexistantes ; on préférera la ciprofloxacine. Moxifloxacine envisageable si avantage réel.,https://www.lecrat.fr/13192/
MUPIROCINE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,UNSAFE,"Attention : la page correspond au mycophénolate (CELLCEPT/MYFORTIC), non à la mupirocine. Le mycophénolate est fortement tératogène (~25% de malformations au T1, ~50% de fausses couches) et contre-indiqué pendant la grossesse.",https://www.lecrat.fr/8864/
NALBUPHINE,CAUTION,SAFE,SAFE,SAFE,CAUTION,"Aucun effet malformatif retenu ; on préférera la morphine en cours de grossesse. À l'accouchement, possible dépression respiratoire/anomalies du rythme cardiaque fœtal ; surveillance néonatale nécessaire.",https://www.lecrat.fr/11746/
NATALIZUMAB,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu. Anémies/thrombopénies/leucocytoses réversibles rapportées chez environ 1/3 des nouveau-nés exposés après 30 SA. Surveillance hématologique néonatale requise.,https://www.lecrat.fr/9220/
NORAMIDOPYRINE,UNSAFE,SAFE,CAUTION,UNSAFE,UNSAFE,Aucun effet malformatif retenu au T1. Toxicité rénale/cardiopulmonaire fœtale identique aux AINS au T2/T3. Formellement contre-indiqué au 3e trimestre (à proscrire).,https://www.lecrat.fr/11771/
O,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Vaccin oreillons (virus vivants atténués) : aucun effet retenu si exposition accidentelle. Non recommandé de vacciner en cours de grossesse (virus vivants).,https://www.lecrat.fr/9579/
OCRELIZUMAB,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu. Données T2/T3 quasi inexistantes ; lymphopénie B néonatale réversible documentée. Arrêter avant la grossesse si possible et surveiller l'immunité néonatale.,https://www.lecrat.fr/9201/
OMALIZUMAB,SAFE,SAFE,SAFE,SAFE,SAFE,Nombreuses données rassurantes au T1 ; aucun effet fœtal/néonatal retenu aux T2/T3. Peut être poursuivi si indiqué pour l'asthme sévère.,https://www.lecrat.fr/4948/
OPIUM,CAUTION,SAFE,SAFE,CAUTION,CAUTION,Aucun effet malformatif retenu. Risque de syndrome de sevrage néonatal à doses suprathérapeutiques jusqu'à l'accouchement. Automédication fortement déconseillée.,https://www.lecrat.fr/11750/
OSELTAMIVIR,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données rassurantes ; aucun effet retenu. Utilisable quel que soit le terme en traitement curatif ou préventif de la grippe.,https://www.lecrat.fr/8566/
OXACILLINE,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif/fœtal/néonatal retenu. Utilisable quel que soit le terme de la grossesse.,https://www.lecrat.fr/13325/
OXELADINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Aucune donnée clinique disponible ; on préférera la codéine ou le dextrométhorphane mieux connus chez la femme enceinte.,https://www.lecrat.fr/11899/
OXOMEMAZINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Aucune donnée publiée au T1 ; risque théorique d'effets extrapyramidaux/atropiniques chez le nouveau-né. On préférera la codéine ou le dextrométhorphane.,https://www.lecrat.fr/11893/
OXYBUTYNINE,CAUTION,SAFE,SAFE,CAUTION,CAUTION,"Aucun effet malformatif/fœtal retenu. En fin de grossesse, effets atropiniques néonataux théoriquement possibles. À réévaluer avec le prescripteur.",https://www.lecrat.fr/11915/
P,SAFE,SAFE,SAFE,SAFE,SAFE,Vaccin pneumococcique (inactivé) : aucun effet retenu. Possible de vacciner quel que soit le terme de la grossesse.,https://www.lecrat.fr/9581/
PAMIDRONATE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu. Bisphosphonate : atteintes squelettiques fœtales possibles à fortes doses répétées chez l'animal. À éviter si possible ; surveillance échographique squelettique si indispensable.,https://www.lecrat.fr/7490/
PEGFILGRASTIM,SAFE,SAFE,SAFE,SAFE,SAFE,G-CSF : aucun effet malformatif/fœtal retenu. Peut être utilisé si nécessaire quel que soit le terme.,https://www.lecrat.fr/20635/
PICOSULFATE DE SODIUM,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"Aucun effet retenu mais données inexistantes. On préférera un laxatif osmotique ou mucilage ; si laxatif stimulant nécessaire, le séné peut être utilisé ponctuellement.",https://www.lecrat.fr/8837/
PIPERACILLINE,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif/néonatal retenu. Envisageable quel que soit le terme en raison de l'intérêt thérapeutique.,https://www.lecrat.fr/13267/
PRODUITS HOMEOPATHIQUES,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif/fœtal/néonatal rapporté. Attention au risque de perte de chance en cas de recours exclusif à l'homéopathie.,https://www.lecrat.fr/1048/
PYRAZINAMIDE,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet retenu ; recommandé par l'OMS dans le traitement de la tuberculose en cours de grossesse. Utilisable quel que soit le terme.,https://www.lecrat.fr/8432/
QUININE,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données rassurantes en traitement du paludisme ; aucun effet retenu. Utilisable à doses thérapeutiques quel que soit le terme et la voie.,https://www.lecrat.fr/10590/
RITUXIMAB,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu. Lymphopénie B néonatale documentée après exposition au T2/T3. Surveillance de l'immunité néonatale et adaptation des vaccinations vivantes requises.,https://www.lecrat.fr/10810/
RIVAROXABAN,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Données insuffisantes ; la page renvoie à contacter le CRAT en cas d'exposition pendant la grossesse.,https://www.lecrat.fr/6164/
RU,CAUTION,CAUTION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Vaccin rubéole (virus vivants atténués) : non recommandé en cours de grossesse ; éviter une conception dans le mois suivant la vaccination. Un seul cas de rubéole congénitale documenté sur >6000 expositions.,https://www.lecrat.fr/9638/
SECUKINUMAB,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Données limitées au T1 (aucun effet retenu) ; quasi inexistantes aux T2/T3. Risque infectieux théorique. Contacter le CRAT ; arrêter avant la conception si possible.,https://www.lecrat.fr/10837/
SELS MINERAUX,CAUTION,CAUTION,SAFE,SAFE,SAFE,"Gluconate de zinc : aucun effet malformatif retenu. Indispensable dans l'acrodermatite entéropathique ; dans l'acné, on préférera d'autres traitements après le T1.",https://www.lecrat.fr/6356/
SORBITOL,SAFE,SAFE,SAFE,SAFE,SAFE,"Non absorbé, aucun effet retenu. Utilisable quel que soit le terme si laxatif nécessaire.",https://www.lecrat.fr/8846/
SOUFRE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Thiocolchicoside : aucun effet retenu chez l'humain mais préférable d'éviter en cours de grossesse. Arrêter le traitement dès la découverte de la grossesse.,https://www.lecrat.fr/9127/
T,SAFE,SAFE,SAFE,SAFE,SAFE,Vaccin tétanos (inactivé) : très nombreuses données rassurantes. Possible de vacciner quel que soit le terme de la grossesse.,https://www.lecrat.fr/9640/
TACROLIMUS,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu au T1. Troubles rénaux/hyperkaliémie transitoires néonatals rapportés. Surveillance des concentrations maternelles et risque infectieux. Utilisable si indiqué.,https://www.lecrat.fr/8924/
TARTRATE DE BRIMONIDINE,UNSAFE,CAUTION,CAUTION,UNSAFE,UNSAFE,"Aucun effet malformatif retenu. Contre-indiquée chez le nouveau-né (hypotension, bradycardie, apnée). En fin de grossesse, effets systémiques néonataux dangereux possibles ; à éviter au T3 et à l'accouchement.",https://www.lecrat.fr/9937/
TAZOBACTAM,CAUTION,CAUTION,SAFE,SAFE,SAFE,Aucun effet retenu. Renvoie aux spécialités Tazocilline® et Zerbaxa® (associations). Données limitées au T1 mais aucun effet retenu après.,https://www.lecrat.fr/13264/
TEICOPLANINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"Aucune donnée publiée chez la femme enceinte ; on préférera la vancomycine. Si indispensable, envisageable quel que soit le terme avec surveillance auditive néonatale.",https://www.lecrat.fr/13214/
TERIFLUNOMIDE,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu chez l'humain au T1 ; données quasi inexistantes aux T2/T3 ; tératogène chez l'animal. Arrêter avant la grossesse et effectuer un wash-out ; contacter le CRAT.,https://www.lecrat.fr/10803/
TOCILIZUMAB,CAUTION,SAFE,CAUTION,CAUTION,CAUTION,Aucun effet malformatif retenu. Données T2/T3 très limitées. Le passage placentaire peut affecter l'immunité néonatale ; différer les vaccins vivants chez le nouveau-né.,https://www.lecrat.fr/10790/
TOXINE BOTULINIQUE,SAFE,SAFE,SAFE,SAFE,SAFE,Aucun effet malformatif/fœtal retenu ; passage placentaire peu probable. Peut être poursuivie quel que soit le terme si indiquée.,https://www.lecrat.fr/20887/
TRIMETAZIDINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Aucune donnée clinique ; aucun effet retenu. Réévaluer le bien-fondé de l'utilisation en cours de grossesse ; contacter le CRAT si exposition.,https://www.lecrat.fr/8669/
TRIMETHOPRIME,CAUTION,CAUTION,SAFE,SAFE,SAFE,"Doublement possible de la fréquence globale des malformations évoqué au T1 (données à confirmer) ; supplémentation en acide folique recommandée. Après 10 SA, rassurer la patiente.",https://www.lecrat.fr/6669/
TRIPTORELINE,CAUTION,SAFE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Aucun effet malformatif retenu. Utilisée en AMP ou en traitement hormonal ; arrêter dès la découverte de la grossesse. Non applicable en dehors du T1.,https://www.lecrat.fr/12728/
TUBERCULINE,SAFE,SAFE,SAFE,SAFE,SAFE,Très nombreuses données rassurantes ; aucun effet retenu. Test à la tuberculine réalisable quel que soit le terme de la grossesse.,https://www.lecrat.fr/3737/
