"id","name","overall_status","first_trimester_status","second_trimester_status","third_trimester_status","delivery_status","summary","source_url"
"1414","ACIDE N-ACETYL-ASPARTYL-GLUTAMIQUE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec acide n-acetyl-aspartyl-glutamique en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/6940/"
"1415","ACIDE NIFLUMIQUE","UNSAFE","CAUTION","CAUTION","UNSAFE","CAUTION","Acide niflumique est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.","https://www.lecrat.fr/15389/"
"1705","ACIDE SALICYLIQUE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1416","ACIDE TIAPROFENIQUE","UNSAFE","CAUTION","CAUTION","UNSAFE","CAUTION","Acide tiaprofenique est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.","https://www.lecrat.fr/7497/"
"1417","ACIDE VALPROIQUE","UNSAFE","UNSAFE","UNSAFE","UNSAFE","UNSAFE","Acide valproique est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. L’acide valproïque en monothérapie entraîne un syndrome polymalformatif dans près de 11% des cas en moyenne. L’acide valproïque passe le placenta : à terme, les concentrations néonatales sont équivalentes ou supérieures aux concentrations maternelles.","https://www.lecrat.fr/12594/"
"1418","ACITRETINE","UNSAFE","UNSAFE","UNSAFE","UNSAFE","UNSAFE","Acitretine est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. L’acitrétine et l’étrétinate entraînent un tableau malformatif proche de celui de l’isotrétinoïne La fréquence de ce tableau ne peut pas être calculée, car sa mise en évidence ne repose que sur des cas isolés.","https://www.lecrat.fr/10880/"
"1419","ADAPALENE","CAUTION","CAUTION","CAUTION","CAUTION","CAUTION","La classification CAUTION de adapalene reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.","https://www.lecrat.fr/6371/"
"1706","ALANINE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1420","ALBENDAZOLE","CAUTION","CAUTION","SAFE","SAFE","CAUTION","Le albendazole est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.","https://www.lecrat.fr/7580/"
"1707","ALBUMINE HUMAINE PLASMATIQUE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1421","ALENDRONATE","CAUTION","CAUTION","CAUTION","CAUTION","CAUTION","La classification CAUTION de alendronate reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.","https://www.lecrat.fr/11484/"
"1708","ALENDRONATE ANHYDRE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1709","ALFACALCIDOL","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1422","ALFUZOSINE","CAUTION","CAUTION","CAUTION","CAUTION","CAUTION","La classification CAUTION de alfuzosine reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif.","https://www.lecrat.fr/7679/"
"1710","ALGINATES","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1699","ALLOPURINOL","CAUTION","CAUTION","CAUTION","CAUTION","CAUTION","L'allopurinol peut être utilisé seulement en absence d'alternative plus sûre, avec une surveillance prénatale ciblée, particulièrement au premier trimestre.","https://www.lecrat.fr/3147/"
"1423","ALPRAZOLAM","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à alprazolam sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Aspect néonatal Les benzodiazépines utilisées jusqu’à l’accouchement peuvent entraîner chez le nouveau-né deux types d’événements transitoires qui peuvent se succéder : Des signes d’imprégnation cf.","https://www.lecrat.fr/6046/"
"1424","ALTIZIDE","CAUTION","CAUTION","CAUTION","CAUTION","CAUTION","Le altizide est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.","https://www.lecrat.fr/11553/"
"1711","ALUMINIUM HYDROXYDE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1712","ALUMINIUM OXYDE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1713","ALVERINE CITRATE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1714","AMANTADINE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1425","AMILORIDE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec amiloride en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/7417/"
"1715","AMIODARONE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1426","AMISULPRIDE","CAUTION","CAUTION","CAUTION","CAUTION","CAUTION","La classification CAUTION de amisulpride reflète des données insuffisantes en cours de grossesse pour permettre une évaluation complète du risque, en particulier au-delà du premier trimestre. Les données au premier trimestre sont limitées et ne permettent pas d'exclure formellement tout risque malformatif. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.","https://www.lecrat.fr/12031/"
"1427","AMITRIPTYLINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec amitriptyline en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour. Lors d’utilisations d’imipraminiques à fortes doses jusqu’à l’accouchement, des symptômes néonatals, le plus souvent transitoires et peu sévères, peuvent parfois apparaître dans les premiers jours de vie.","https://www.lecrat.fr/4145/"
"1428","AMLODIPINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec amlodipine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/7335/"
"1429","AMOROLFINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec amorolfine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/10280/"
"1430","AMOXICILLINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à amoxicilline sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.","https://www.lecrat.fr/6654/"
"1431","AMPHOTERICINE B","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec amphotericine b en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Passe le placenta : la concentration dans le sang de cordon est de 72% de la concentration maternelle.","https://www.lecrat.fr/10226/"
"1432","AMPICILLINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à ampicilline sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.","https://www.lecrat.fr/13210/"
"1716","ARGENT COLLARGOL","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1717","ARGENT COLLOIDAL","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1433","ARIPIPRAZOLE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à aripiprazole sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.","https://www.lecrat.fr/12062/"
"1434","ATENOLOL","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à atenolol sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.","https://www.lecrat.fr/9259/"
"1435","ATORVASTATINE","CAUTION","CAUTION","CAUTION","CAUTION","CAUTION","Le atorvastatine est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.","https://www.lecrat.fr/8611/"
"1718","ATROPINE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1719","ATTAPULGITE DE MORMOIRON ACTIVEE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1436","AZATHIOPRINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à azathioprine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.","https://www.lecrat.fr/8894/"
"1437","AZELASTINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec azelastine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/4986/"
"1438","AZITHROMYCINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à azithromycine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.","https://www.lecrat.fr/6362/"
"1439","BACLOFENE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec baclofene en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/9133/"
"1720","BARYUM SULFATE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1440","BECLOMETASONE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à beclometasone sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En effet, un asthme mal équilibré peut avoir un effet délétère sur la grossesse/le nouveau-né (prématurité, petit poids de naissance…).","https://www.lecrat.fr/8199/"
"1721","BELLADONA","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1722","BENSERAZIDE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1723","BENZALKONIUM","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1724","BENZALKONIUM CHLORURE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1441","BENZATHINE BENZYLPENICILLINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à benzathine benzylpenicilline sont limitées et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.","https://www.lecrat.fr/13304/"
"1442","BENZOATE DE BENZYLE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec benzoate de benzyle en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/7606/"
"1725","BENZODODECINIUM","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1726","BENZYDAMINE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1443","BENZYLPENICILLINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à benzylpenicilline sont limitées et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.","https://www.lecrat.fr/13304/"
"1727","BENZYLTHIOURACILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1728","BETA","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1444","BETAMETHASONE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec betamethasone en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/5016/"
"1445","BETAXOLOL","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec betaxolol en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/9257/"
"1446","BIMATOPROST","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec bimatoprost en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/9985/"
"1447","BIPERIDENE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec biperidene en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/10172/"
"1448","BISOPROLOL","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à bisoprolol sont nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.","https://www.lecrat.fr/7432/"
"1729","BORATE DE SOUDE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1449","BRIMONIDINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec brimonidine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Chez le nouveau-né, la brimonidine est contre-indiquée en raison d’effets secondaires graves survenus lors de traitements par voie oculaire : hypotension, bradycardie, hypothermie, apnée.","https://www.lecrat.fr/9937/"
"1450","BRINZOLAMIDE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec brinzolamide en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/9948/"
"1451","BROMAZEPAM","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec bromazepam en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Aspect néonatal Les benzodiazépines utilisées jusqu’à l’accouchement peuvent entraîner chez le nouveau-né deux types d’évènements transitoires qui peuvent se succéder : Des signes d’imprégnation cf.","https://www.lecrat.fr/6057/"
"1452","BROMHEXINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec bromhexine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/11818/"
"1453","BROMOCRIPTINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec bromocriptine en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.","https://www.lecrat.fr/8972/"
"1454","BUDESONIDE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à budesonide sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En effet, un asthme mal équilibré peut avoir un effet délétère sur la grossesse/le nouveau-né (prématurité, petit poids de naissance…).","https://www.lecrat.fr/8207/"
"1456","CAFEINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec cafeine en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/4278/"
"1732","CALCIFEDIOL","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1457","CALCIPOTRIOL","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à calcipotriol sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/10888/"
"1733","CALCIUM","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1734","CALCIUM CARBONATE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1458","CANDESARTAN","UNSAFE","SAFE","UNSAFE","UNSAFE","CAUTION","Candesartan est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale est également documenté.","https://www.lecrat.fr/7366/"
"1459","CANDESARTAN  HYDROCHLOROTHIAZIDE","CAUTION","CAUTION","CAUTION","CAUTION","CAUTION","Le candesartan hydrochlorothiazide est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.","https://www.lecrat.fr/7226/"
"1735","CANDESARTAN CILEXETIL","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1460","CAPTOPRIL","UNSAFE","SAFE","UNSAFE","UNSAFE","CAUTION","Captopril est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale est également documenté.","https://www.lecrat.fr/7199/"
"1461","CARBAMAZEPINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec carbamazepine en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/12249/"
"1736","CARBOMERE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1737","CARBONATE DE CALCIUM","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1738","CARMELLOSE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1739","CARRAGHAHEEN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1740","CARRAGHENATES","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1462","CARTEOLOL","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec carteolol en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/9916/"
"1463","CARVEDILOL","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec carvedilol en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/9281/"
"1464","CEFADROXIL","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à cefadroxil sont nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.","https://www.lecrat.fr/13206/"
"1465","CEFAZOLINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec cefazoline en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/13273/"
"1466","CEFIXIME","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec cefixime en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/13143/"
"1467","CEFOTAXIME","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec cefotaxime en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/3062/"
"1468","CEFPODOXIME","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec cefpodoxime en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/13321/"
"1469","CEFUROXIME","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec cefuroxime en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.","https://www.lecrat.fr/13343/"
"1470","CELECOXIB","UNSAFE","CAUTION","CAUTION","UNSAFE","CAUTION","Celecoxib est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.","https://www.lecrat.fr/15396/"
"1471","CELIPROLOL","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données disponibles avec celiprolol en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.","https://www.lecrat.fr/9275/"
"1741","CETHOXINIUM","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1472","CETIRIZINE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à cetirizine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.","https://www.lecrat.fr/3084/"
"1742","CETRORELIX","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1743","CHARBON ACTIVE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1473","CHLORDIAZEPOXIDE","SAFE","SAFE","SAFE","SAFE","CAUTION","Les données publiées chez les femmes enceintes exposées à chlordiazepoxide sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Aspect néonatal Les benzodiazépines utilisées jusqu’à l’accouchement peuvent entraîner chez le nouveau-né deux types d’évènements transitoires qui peuvent se succéder : Des signes d’imprégnation cf.","https://www.lecrat.fr/6979/"
"1744","CHLORHEXIDINE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
"1745","CHLORMADINONE ACETATE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",
