dci_name,overall_status,trimester_details/T1,trimester_details/T2,trimester_details/T3,trimester_details/DELIVERY,summary,source_url
AMOXICILLINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à amoxicilline sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/6654/
AMPHOTERICINE B,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec amphotericine b en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Passe le placenta : la concentration dans le sang de cordon est de 72% de la concentration maternelle.",https://www.lecrat.fr/10226/
AMPICILLINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à ampicilline sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/13210/
ARIPIPRAZOLE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à aripiprazole sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.",https://www.lecrat.fr/12062/
ATENOLOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à atenolol sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.",https://www.lecrat.fr/9259/
ATORVASTATINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"Le atorvastatine est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/8611/
AZATHIOPRINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à azathioprine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.",https://www.lecrat.fr/8894/
AZELASTINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec azelastine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/4986/
AZITHROMYCINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à azithromycine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/6362/
BACLOFENE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec baclofene en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/9133/
BECLOMETASONE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à beclometasone sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En effet, un asthme mal équilibré peut avoir un effet délétère sur la grossesse/le nouveau-né (prématurité, petit poids de naissance…).",https://www.lecrat.fr/8199/
BENZATHINE BENZYLPENICILLINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à benzathine benzylpenicilline sont limitées et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/13304/
BENZOATE DE BENZYLE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec benzoate de benzyle en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/7606/
BENZYLPENICILLINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à benzylpenicilline sont limitées et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/13304/
BETAMETHASONE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec betamethasone en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/5016/
BETAXOLOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec betaxolol en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/9257/
BIMATOPROST,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec bimatoprost en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/9985/
BIPERIDENE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec biperidene en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/10172/
BISOPROLOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à bisoprolol sont nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.",https://www.lecrat.fr/7432/
BRIMONIDINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec brimonidine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Chez le nouveau-né, la brimonidine est contre-indiquée en raison d’effets secondaires graves survenus lors de traitements par voie oculaire : hypotension, bradycardie, hypothermie, apnée.",https://www.lecrat.fr/9937/
BRINZOLAMIDE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec brinzolamide en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/9948/
BROMAZEPAM,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec bromazepam en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Aspect néonatal Les benzodiazépines utilisées jusqu’à l’accouchement peuvent entraîner chez le nouveau-né deux types d’évènements transitoires qui peuvent se succéder : Des signes d’imprégnation cf.",https://www.lecrat.fr/6057/
BROMHEXINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec bromhexine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/11818/
BROMOCRIPTINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec bromocriptine en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/8972/
BUDESONIDE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à budesonide sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En effet, un asthme mal équilibré peut avoir un effet délétère sur la grossesse/le nouveau-né (prématurité, petit poids de naissance…).",https://www.lecrat.fr/8207/
COQUELUCHE,SAFE,SAFE,SAFE,SAFE,CAUTION,Les données publiées chez les femmes enceintes exposées à coqueluche sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. Une vaccination maternelle dans la 2ème partie de la grossesse permet la protection des nouveau-nés/nourrissons jusqu’à 2 mois de vie grâce au,https://www.lecrat.fr/9429/
CAFEINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec cafeine en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/4278/
CALCIPOTRIOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à calcipotriol sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/10888/
CANDESARTAN,UNSAFE,SAFE,UNSAFE,UNSAFE,CAUTION,"Candesartan est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale est également documenté.",https://www.lecrat.fr/7366/
CANDESARTAN  HYDROCHLOROTHIAZIDE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"Le candesartan hydrochlorothiazide est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/7226/
CAPTOPRIL,UNSAFE,SAFE,UNSAFE,UNSAFE,CAUTION,"Captopril est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale est également documenté.",https://www.lecrat.fr/7199/
CARBAMAZEPINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec carbamazepine en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/12249/
CARTEOLOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec carteolol en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/9916/
CARVEDILOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec carvedilol en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/9281/
CEFADROXIL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à cefadroxil sont nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/13206/
CEFAZOLINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec cefazoline en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/13273/
CEFIXIME,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec cefixime en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/13143/
CEFOTAXIME,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec cefotaxime en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/3062/
CEFPODOXIME,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec cefpodoxime en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/13321/
CEFUROXIME,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec cefuroxime en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/13343/
CELECOXIB,UNSAFE,CAUTION,CAUTION,UNSAFE,CAUTION,"Celecoxib est classé UNSAFE car il est formellement contre-indiqué en cours de grossesse en raison d'effets délétères documentés sur le développement embryo-fœtal. Aux stades avancés de la grossesse, le risque de toxicité rénale fœtale et de toxicité cardiovasculaire est également documenté.",https://www.lecrat.fr/15396/
CELIPROLOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec celiprolol en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/9275/
CETIRIZINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à cetirizine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/3084/
CHLORDIAZEPOXIDE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à chlordiazepoxide sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Aspect néonatal Les benzodiazépines utilisées jusqu’à l’accouchement peuvent entraîner chez le nouveau-né deux types d’évènements transitoires qui peuvent se succéder : Des signes d’imprégnation cf.",https://www.lecrat.fr/6979/
CHLOROTHIAZIDE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,"Le chlorothiazide est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/7226/
CHLORPROMAZINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à chlorpromazine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.",https://www.lecrat.fr/3580/
CIMETIDINE,CAUTION,CAUTION,CAUTION,CAUTION,CAUTION,Le cimetidine est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse.,https://www.lecrat.fr/12801/
CIPROFLOXACINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à ciprofloxacine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Les fluoroquinolones n’ont plus leur place dans le traitement de la cystite aigue de la femme ( .",https://www.lecrat.fr/6630/
CITALOPRAM,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à citalopram sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Chez environ 30% des nouveau-nés de mères traitées jusqu’à l’accouchement par un antidépresseur IRSS/IRSNa, des symptômes néonatals, le plus souvent transitoires, peu sévères et de courte durée, peuvent apparaître dans les premiers jours de vie.",https://www.lecrat.fr/3961/
CLARITHROMYCINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à clarithromycine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/13419/
CLINDAMYCINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à clindamycine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/6313/
CLOBAZAM,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec clobazam en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/12497/
CLOBETASOL,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec clobetasol en cours de grossesse sont nombreuses, sans signal de risque malformatif significatif retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/5165/
CLOMIPRAMINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec clomipramine en cours de grossesse sont très nombreuses, sans signal de risque malformatif significatif retenu à ce jour. Lors d’utilisations d’imipraminiques à fortes doses jusqu’à l’accouchement, des symptômes néonatals, le plus souvent transitoires et peu sévères, peuvent parfois apparaître dans les premiers jours de vie.",https://www.lecrat.fr/4100/
CLONAZEPAM,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à clonazepam sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre.",https://www.lecrat.fr/11239/
CLORAZEPATE DIPOTASSIQUE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à clorazepate dipotassique sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Aspect néonatal Les benzodiazépines utilisées jusqu’à l’accouchement peuvent entraîner chez le nouveau-né deux types d’évènements transitoires qui peuvent se succéder : Des signes d’imprégnation cf.",https://www.lecrat.fr/3878/
CLOTRIMAZOLE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à clotrimazole sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/10189/
CLOZAPINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données disponibles avec clozapine en cours de grossesse sont limitées, sans signal de risque malformatif significatif retenu à ce jour.",https://www.lecrat.fr/12027/
CODEINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à codeine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour, y compris pour les expositions au premier trimestre. Si la codéine est poursuivie jusqu’à l’accouchement, de principe le signaler au pédiatre de maternité car il s’agit d’un opiacé faible (cf.",https://www.lecrat.fr/4478/
COLCHICINE,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à colchicine sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. En cas d'utilisation jusqu'à l'accouchement, une surveillance néonatale est recommandée en raison d'effets indésirables possibles chez le nouveau-né.",https://www.lecrat.fr/9166/
COQUELUCHE,SAFE,SAFE,SAFE,SAFE,SAFE,"Aucun effet malformatif, fœtal ou néonatal retenu. La vaccination est recommandée entre 20 et 36 SA pour protéger le nouveau-né grâce au transfert placentaire des anticorps maternels.",https://www.lecrat.fr/9429/
COTRIMOXAZOLE,CAUTION,CAUTION,SAFE,SAFE,CAUTION,"Le cotrimoxazole est classé CAUTION en raison d'un profil de risque nécessitant des précautions spécifiques selon le terme de la grossesse. En cas d'utilisation en fin de grossesse, une surveillance néonatale est recommandée en raison d'effets possibles chez le nouveau-né.",https://www.lecrat.fr/6660/
CROMOGLYCATE DE SODIUM,SAFE,SAFE,SAFE,SAFE,CAUTION,"Les données publiées chez les femmes enceintes exposées à cromoglycate de sodium sont très nombreuses et aucun effet malformatif n'est retenu à ce jour. Son utilisation est possible tout au long de la grossesse lorsqu'elle est cliniquement justifiée, avec une surveillance adaptée lors de l'accouchement.",https://www.lecrat.fr/4745/
